PRICE,PRODUCTION,STOCKS,SP500,INFEXP,USGDP,TY5,CONUMPT,INCOME,MANUFACT
95.14,8145.0,1022706.0,1831.98,2.81,17136.46,1.716,19.105,1.7,98.4
97.17999999999999,8056.571428571428,1023335.1428571428,1769.0233333333333,2.566666666666667,17215.41,1.4856666666666667,18.9,1.7,99.3
103.7,8092.0,1029262.0,1854.8766666666668,2.5466666666666664,17241.35,1.4943333333333333,18.45,1.7,100.3
99.69,8213.142857142857,1046493.7142857143,1885.52,2.57,17401.81,1.74,18.83,2.0,100.2
99.69,8350.285714285714,1059199.5714285714,1883.68,2.44,17544.73,1.653,18.6,2.0,100.5
103.17999999999999,8405.0,1048142.0,1924.5033333333333,2.51,17608.99,1.5733333333333335,18.88,2.0,100.9
106.06,8483.142857142857,1042825.5714285715,1973.32,2.52,17747.89,1.656,19.25,1.9,101.3
97.86,8453.0,1025139.0,1925.15,2.62,17861.87,1.673,19.37,1.9,100.8
94.155,8612.857142857143,1018794.8571428572,2002.5525,2.525,17802.93,1.6715,19.2,1.9,100.8
90.74,8864.142857142857,1019945.0,1946.16,2.32,17906.54,1.683,19.7,1.4,100.8
79.94333333333333,8985.0,1039504.0,2017.97,2.31,17926.06,1.6199999999999999,19.39,1.4,101.5
68.98,9098.0,1038535.4285714285,2053.44,2.19,17903.64,1.521,19.49,1.4,101.3
53.085,9130.42857142857,1040363.4285714285,2058.55,2.105,18001.45,1.618,19.27,0.9,100.7
48.763333333333335,9191.0,1071666.0,2012.23,1.99,18122.9,1.1856666666666666,19.67,0.9,99.9
49.67333333333334,9336.0,1102680.142857143,2113.0933333333332,2.1366666666666667,18066.24,1.5536666666666668,19.35,0.9,100.3
50.12,9398.857142857143,1137277.142857143,2059.69,2.02,18241.16,1.326,19.26,1.0,100.2
59.1,9369.0,1145027.0,2108.29,2.16,18258.25,1.507,19.32,1.0,100.2
60.24,9596.285714285714,1134230.857142857,2111.73,2.05,18339.94,1.556,19.85,1.0,99.9
56.94,9601.42857142857,1127645.0,2077.42,2.18,18367.74,1.702,20.121,0.8,100.6
46.49,9455.0,1118159.4285714286,2101.9066666666668,2.11,18381.33,1.5366666666666666,19.93,0.8,100.3
45.38,9170.57142857143,1120162.5714285714,1913.85,1.96,18455.8,1.504,19.44,0.8,100.0
44.75,9161.142857142857,1123721.7142857143,1923.82,1.79,18468.44,1.37,19.47,0.8,99.9
46.28,9167.142857142857,1147105.142857143,2095.82,1.8666666666666667,18389.47,1.552,19.111,0.8,99.6
40.58,9180.285714285714,1150245.0,2102.63,1.85,18447.5,1.596,19.6,0.8,99.3
37.050000000000004,9219.0,1146076.0,2036.1200000000001,1.775,18492.74,1.75225,19.061,0.8,99.8
31.62,9202.0,1166174.2857142857,1939.38,1.6,18464.63,1.383,19.84,0.8,99.4
34.39,9077.57142857143,1184180.2857142857,1978.35,1.67,18620.43,1.318,19.75,0.8,99.4
35.36,9008.0,1193710.0,2072.78,1.75,18702.04,1.242,19.35,0.8,99.2
45.16,8818.42857142857,1206171.857142857,2076.0533333333333,1.7933333333333334,18689.45,1.3063333333333333,19.33,0.8,99.1
49.07,8742.142857142857,1197623.142857143,2099.33,1.61,18743.62,1.385,19.83,0.8,99.4
49.02,8428.0,1188820.0,2102.95,1.43,18777.02,1.004,19.75,0.9,99.4
40.05,8453.57142857143,1187463.857142857,2170.84,1.65,18891.09,1.053,20.26,0.9,99.1
43.17,8462.285714285714,1177891.4285714286,2170.86,1.66,19009.81,1.182,19.77,0.9,99.3
48.08,8464.57142857143,1164891.7142857143,2165.9133333333334,1.7633333333333334,18982.69,1.165,19.68,1.4,99.4
46.66,8619.142857142857,1179055.142857143,2111.72,1.85,19103.43,1.286,19.69,1.4,99.4
51.08,8697.285714285714,1181181.4285714286,2191.08,2.13,19182.02,1.893,19.99,1.4,99.4
53.055,8820.285714285714,1175264.5714285714,2248.33,2.08,19225.37,1.939,19.29,2.0,99.6
53.9,8960.0,1199718.857142857,2279.55,2.18,19262.02,1.926,19.15,2.0,99.5
53.82,9072.0,1220944.2857142857,2395.96,2.22,19352.87,1.992,20.061,2.0,99.2
50.443333333333335,9204.142857142857,1227279.2857142857,2361.4266666666667,2.1766666666666667,19315.59,1.9116666666666666,19.62,1.6,100.3
48.83,9302.0,1214625.142857143,2388.33,2.04,19442.93,1.847,20.051,1.6,100.1
48.32,9321.42857142857,1197998.857142857,2430.06,1.89,19557.41,1.765,20.57,1.6,100.2
45.838,9346.42857142857,1183420.4285714286,2425.2766666666666,1.8333333333333335,19574.75,1.9,20.13,1.8,99.8
49.19,9426.0,1157085.142857143,2476.35,1.96,19666.74,1.799,20.27,1.8,99.6
47.32,8781.0,1140953.0,2476.55,1.95,19836.3,1.733,19.63,1.8,99.6
50.95,9537.857142857143,1137484.2857142857,2525.866666666667,1.9533333333333334,19882.71,1.932,19.97,1.9,100.7
54.32,9600.857142857143,1126604.4285714286,2579.36,2.05,20067.51,2.022,20.31,1.9,100.8
58.35,9707.0,1110766.0,2642.22,2.0,20161.04,2.118,20.32,1.9,100.6
60.3925,9657.714285714286,1086090.0,2690.26,2.09,20247.69,2.239,20.56,2.101,100.1
65.92,10203.57142857143,1085065.2857142857,2821.98,2.29,20388.1,2.559,19.69,2.101,101.2
60.98,10356.714285714286,1090994.7142857143,2677.67,2.17,20349.87,2.575,20.73,2.101,101.1
63.504999999999995,10478.57142857143,1091732.5714285714,2596.6275,2.1275,20465.27,2.55225,20.041,2.5,101.8
67.28,10667.0,1098560.4285714286,2654.8,2.23,20621.99,2.821,20.25,2.5,101.0
65.81,10800.0,1096752.0,2734.62,2.12,20655.48,2.738,20.77,2.5,101.7
73.97,10900.0,1074287.2857142857,2723.93,2.1933333333333334,20748.37,2.7456666666666667,20.67,2.4,101.7
68.8,10828.57142857143,1067788.2857142857,2813.36,2.26,20806.9,2.875,21.36,2.4,102.0
69.83500000000001,10985.714285714286,1060745.2857142857,2900.3199999999997,2.1875,20840.92,2.745,20.081,2.4,102.0
75.37,11142.857142857143,1065980.142857143,2924.59,2.24,20892.57,2.96,20.79,2.2,101.6
63.67,11542.857142857143,1085694.4285714286,2740.37,2.16,20914.05,2.968,20.77,2.2,101.3
51.513333333333335,11685.714285714286,1092550.7142857143,2770.2366666666667,2.1666666666666665,20946.98,2.843,20.33,2.2,101.6
46.078,11700.0,1089597.0,2508.44,1.91,21081.91,2.5065,20.61,1.9,100.8
55.29,11900.0,1096346.0,2706.53,2.04,21094.78,2.508,20.28,1.9,100.2
55.76,12100.0,1102060.0,2803.69,2.07,21135.71,2.556,20.18,1.9,99.9
61.59,12200.0,1101659.4285714286,2867.19,1.98,21280.09,2.312,20.33,1.7,99.3
63.55,12228.57142857143,1115701.857142857,2923.73,2.03,21374.01,2.298,20.39,1.7,99.4
53.410000000000004,12385.714285714286,1128397.142857143,2749.523333333333,1.9,21500.22,1.9003333333333334,20.65,1.7,99.8
58.91,12242.857142857143,1109238.0,2964.33,1.85,21641.15,1.796,20.73,1.6,99.1
53.64,12285.714285714286,1083407.2857142857,2953.56,1.93,21691.9,1.678,21.16,1.6,99.8
54.489999999999995,12400.0,1065823.142857143,2916.365,1.73,21749.79,1.365,20.25,1.6,99.1
53.6,12514.285714285714,1069018.2857142857,2940.25,1.71,21774.65,1.498,20.71,1.5,98.2
56.04,12600.0,1087734.0,3066.91,1.68,21940.59,1.554,20.74,1.5,99.1
56.68666666666667,12871.42857142857,1082440.2857142857,3122.9066666666668,1.7466666666666666,21991.92,1.6463333333333334,20.44,1.5,99.2
61.155,12900.0,1065694.4285714286,3244.315,1.87,22015.24,1.682,19.93,1.6,98.9
51.07333333333333,12914.285714285714,1071041.5714285714,3233.32,1.7,22119.34,1.3316666666666668,20.13,1.6,99.1
46.13,13071.42857142857,1081275.7142857143,3044.8933333333334,1.4966666666666666,20984.96,0.881,18.46,1.6,94.6
20.28,12571.42857142857,1115000.7142857143,2470.5,1.26,18943.08,0.369,14.55,0.8,79.9
19.72,11900.0,1170054.0,2830.71,1.44,19820.18,0.369,16.081,0.8,83.5
35.49,11157.142857142857,1183526.857142857,3055.73,1.52,20976.17,0.302,17.58,0.8,90.0
39.88,11000.0,1193414.2857142857,3115.86,1.57,21402.55,0.313,18.38,1.3,93.3
40.343333333333334,10957.142857142857,1173772.142857143,3278.95,1.7,21627.91,0.21833333333333332,18.56,1.3,94.5
42.76,9871.42857142857,1147553.4285714286,3526.65,1.87,21912.46,0.255,18.41,1.3,94.5
38.51,10957.142857142857,1135025.0,3380.8,1.78,22045.69,0.272,18.61,1.7,95.2
36.28,10500.0,1124759.857142857,3296.813333333333,1.8166666666666667,21899.77,0.37833333333333335,18.74,1.7,95.8
44.54,11100.0,1134851.4285714286,3662.45,1.9,22128.04,0.427,18.8,1.7,96.4
48.13,11000.0,1123544.0,3742.215,2.0324999999999998,22534.27,0.35924999999999996,18.81,2.6,97.5
53.55,10942.857142857143,1110826.4285714286,3773.86,2.04,22340.35,0.424,17.7,2.6,93.5
60.54,10385.714285714286,1128291.4285714286,3901.82,1.92,22925.94,0.711,19.13,2.6,96.4
61.41,10928.57142857143,1136589.142857143,4019.87,2.15,23119.56,0.907,19.74,4.5,96.6
63.82,10914.285714285714,1118283.2857142857,4185.0,2.2466666666666666,23291.15,0.8476666666666667,20.051,4.5,97.7
67.8,10914.285714285714,1103337.2857142857,4202.04,2.32,23466.38,0.809,20.59,4.5,97.7
75.33,11271.42857142857,1067929.857142857,4319.94,2.21,23662.66,0.902,20.17,5.101,98.7
72.18333333333334,11228.57142857143,1060401.0,4389.86,2.2333333333333334,23817.21,0.6683333333333333,20.57,5.101,98.3
68.63,10428.57142857143,1045605.5714285715,4524.09,2.2,24007.05,0.78,20.14,5.101,97.4
76.01,11300.0,1038657.0,4357.04,2.25,24452.1,0.941,20.38,6.101,98.8
84.08,11500.0,1045724.5714285715,4613.67,2.14,24582.5,1.198,20.57,6.101,99.6
65.44,11671.42857142857,1034288.4285714285,4513.04,2.18,24929.21,1.155,20.66,6.101,99.6
75.55,11785.714285714286,1010839.7142857143,4776.306666666667,2.25,24863.0,1.297,19.61,6.9,99.1
88.22,11557.142857142857,1000539.0,4546.54,2.06,25012.28,1.624,20.19,6.9,100.2
103.66,11600.0,990938.1428571428,4306.26,2.1,25212.07,1.549,20.48,6.9,101.0
99.32,11800.0,976951.0,4545.86,2.32,25290.67,2.549,19.73,7.7,101.2
104.98333333333333,11871.42857142857,966139.4285714285,4147.5633333333335,2.4266666666666667,25554.32,2.972,19.84,7.7,100.9
115.26,11900.0,937579.2857142857,4101.23,2.34,25787.83,2.938,20.43,7.7,100.5
110.3,12100.0,915828.0,3825.33,2.08,25754.47,2.884,19.93,7.2,100.7
96.59,12142.857142857143,896476.5714285715,4118.63,2.3,26128.72,2.668,20.27,7.2,100.9
87.09,12100.0,869473.7142857143,3966.85,2.38,26100.73,3.406,20.13,7.2,101.1
81.28999999999999,11985.714285714286,845904.7142857143,3616.5566666666664,2.18,26288.25,3.9883333333333337,20.011,6.4,101.2
88.36,12014.285714285714,836823.1428571428,3856.1,2.37,26463.59,4.258,20.21,6.4,100.5
81.06,12185.714285714286,801957.4285714285,4076.57,2.27,26473.38,3.68,19.33,6.4,98.3
78.515,12128.57142857143,798214.8571428572,3831.8199999999997,2.25,26734.7,3.972505,19.15,5.3,99.9
76.34,12271.42857142857,825997.7142857143,4119.21,2.21,26831.86,3.495,19.76,5.3,100.3
77.57,12228.57142857143,850576.0,3951.39,2.29,26874.24,4.263,20.081,5.3,99.5
77.25333333333334,12214.285714285714,840983.7142857143,4114.376666666667,2.2233333333333336,26923.08,3.583666666666667,20.044,3.5,100.5
75.65,12300.0,824582.5714285715,4167.87,2.22,27074.37,3.633,20.4,3.5,100.4
70.09,12371.42857142857,813105.2857142857,4221.02,2.25,27191.59,3.701,20.72,3.5,99.6
70.34333333333333,12385.714285714286,800133.1428571428,4452.116666666667,2.27,27385.74,4.152333333333333,20.122,3.2,100.0
81.37,12428.57142857143,790442.0,4576.73,2.48,27622.27,4.249,20.88,3.2,99.9
85.52,12800.0,766977.0,4515.77,2.35,27822.37,4.291,20.091,3.2,100.1
89.46333333333334,12985.714285714286,768248.7142857143,4288.276666666667,2.4733333333333336,27738.75,4.68,20.68,2.6,99.4
81.05,13200.0,783073.4285714285,4237.86,2.46,27949.83,4.705,20.71,2.6,100.0
73.7,13100.0,796948.0,4594.63,2.32,28184.31,4.156,20.29,2.6,100.1
